
原随机数		43815396
		447883200
		323960337
		90216448
		917600352
		146307447
		5627232
		206724500
		63345066
		213570904
		250847314
		62171958
		233189344
		51286263
		529901052
		655536771
		882109194
		549665792
		52382014
		98803760
		199093312
		19164945
		98325120
		54881728
		180933480
		240210762
		138206736
		276837412
		429127920
		448013349
		230378494
		262703922
		50305360
		445696110
		171515580
		676139110
		801147270
		95381580
		105583940
		9797984
		659162511
		308622960
		245725347
		575819130
		88058674
		19432488
		2811240
		520884
		298200278
		422537880
-------------------------------------------------------------------------------------------------------------
排序算法		排序后的随机数		排序算法所用时间		排序检测结果
-------------------------------------------------------------------------------------------------------------
归并排序		520884			0.000000ms		True
		2811240
		5627232
		9797984
		19164945
		19432488
		43815396
		50305360
		51286263
		52382014
		54881728
		62171958
		63345066
		88058674
		90216448
		95381580
		98325120
		98803760
		105583940
		138206736
		146307447
		171515580
		180933480
		199093312
		206724500
		213570904
		230378494
		233189344
		240210762
		245725347
		250847314
		262703922
		276837412
		298200278
		308622960
		323960337
		422537880
		429127920
		445696110
		447883200
		448013349
		529901052
		549665792
		575819130
		655536771
		659162511
		676139110
		801147270
		882109194
		917600352
-------------------------------------------------------------------------------------------------------------
